Region,Event_Type,Year,Month,Date,Daily_Min_Temp,Daily_Avg_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp,Event_Temp
PacificNW,Cold Event,1985,11,11/25/1985,4.9,10.1,20.9,21.3,6.9,6.9
PacificNW,Cold Event,1998,12,12/20/1998,3.8,9,15.6,19.2,6.9,6.9
PacificNW,Cold Event,1985,11,11/29/1985,6.6,11,19.3,19,7.4,7.4
PacificNW,Cold Event,1996,1,1/31/1996,8.4,12.9,23.4,21.8,7.5,7.5
PacificNW,Cold Event,1985,12,12/1/1985,6.9,10.1,16.4,21,7.9,7.9
PacificNW,Cold Event,2009,12,12/8/2009,6.8,11.7,20.7,21,8,8
PacificNW,Cold Event,2013,12,12/8/2013,5.5,10.1,21.7,21.4,8,8
PacificNW,Cold Event,2013,12,12/7/2013,6.8,11.5,18.2,19.8,8.1,8.1
PacificNW,Cold Event,1983,12,12/20/1983,7.8,12.5,19.5,18.2,8.2,8.2
PacificNW,Cold Event,1996,1,1/30/1996,3.7,9.1,17.8,21.4,8.3,8.3
PacificNW,Cold Event,2010,11,11/24/2010,3.8,8.7,21.2,25.8,8.4,8.4
PacificNW,Cold Event,2009,12,12/9/2009,7.9,12.6,23.3,23.6,8.5,8.5
PacificNW,Cold Event,1985,2,2/3/1985,8.7,15.2,23.8,24.5,8.6,8.6
PacificNW,Cold Event,2022,12,12/22/2022,4,8.2,15.5,24.1,8.6,8.6
