Region,Event_Type,Year,Month,Date,Daily_Min_Temp,Daily_Avg_Temp,Daily_Max_Temp,3_Day_Rolling_Avg_Max_Temp,3_Day_Rolling_Avg_Min_Temp,Event_Temp
NYISO,Cold Event,1994,1,1/17/1994,-4.8,10.2,31.5,22.8,-5.2,-5.2
NYISO,Cold Event,2011,1,1/23/2011,-1,6.3,16.7,15,-5,-5
NYISO,Cold Event,1987,1,1/26/1987,5.4,10.8,17.2,17.1,-4.9,-4.9
NYISO,Cold Event,1995,2,2/6/1995,-8.4,-0.6,10.3,19.4,-4.9,-4.9
NYISO,Cold Event,2005,1,1/28/2005,-10.3,-0.8,15.1,21.1,-4.8,-4.8
NYISO,Cold Event,2016,2,2/14/2016,-11.2,-2.5,9.2,18.9,-4.8,-4.8
NYISO,Cold Event,1996,2,2/5/1996,-7.6,1,14.8,14.3,-4.7,-4.7
NYISO,Cold Event,1987,1,1/25/1987,-12.5,0.4,16.6,15.3,-4.4,-4.4
NYISO,Cold Event,2000,1,1/18/2000,-6.3,0.7,12.6,19.3,-4.4,-4.4
NYISO,Cold Event,2003,1,1/23/2003,-7.4,-1,6.9,11.3,-4.4,-4.4
NYISO,Cold Event,1980,12,12/26/1980,-4.6,3.3,18,23.8,-4.2,-4.2
NYISO,Cold Event,1987,2,2/16/1987,-9.9,0.6,17.6,17.4,-4.2,-4.2
NYISO,Cold Event,2004,1,1/10/2004,-8.9,-2.3,7.6,14.7,-4.2,-4.2
NYISO,Cold Event,1982,1,1/27/1982,-9.6,-0.3,13.9,18.7,-4.1,-4.1
NYISO,Cold Event,2015,2,2/17/2015,2,8.5,20.3,17.5,-4,-4
