Region,Time_UTC,T2,Q2,SWDOWN,GLW,WSPD,Temperature_F
California,1/31/1985 0:00,280.7,0.0,233.9,235.2,5.1,45.6
California,1/31/1985 1:00,279.0,0.0,60.2,233.7,4.7,42.6
California,1/31/1985 2:00,276.9,0.0,0.0,229.7,4.2,38.7
California,1/31/1985 3:00,275.9,0.0,0.0,226.9,3.8,37.0
California,1/31/1985 4:00,275.3,0.0,0.0,225.5,3.5,35.9
California,1/31/1985 5:00,274.9,0.0,0.0,224.6,3.3,35.2
California,1/31/1985 6:00,274.7,0.0,0.0,224.4,3.3,34.8
California,1/31/1985 7:00,274.6,0.0,0.0,224.2,3.2,34.5
California,1/31/1985 8:00,274.4,0.0,0.0,223.9,3.1,34.3
California,1/31/1985 9:00,274.2,0.0,0.0,223.6,3.0,34.0
California,1/31/1985 10:00,274.1,0.0,0.0,223.4,2.9,33.7
California,1/31/1985 11:00,273.9,0.0,0.0,223.2,2.8,33.4
California,1/31/1985 12:00,273.8,0.0,0.0,223.2,2.7,33.2
California,1/31/1985 13:00,273.7,0.0,0.0,222.8,2.7,32.9
California,1/31/1985 14:00,273.4,0.0,0.0,222.4,2.5,32.5
California,1/31/1985 15:00,273.4,0.0,14.8,222.1,2.4,32.5
California,1/31/1985 16:00,275.3,0.0,162.4,222.8,2.4,35.9
California,1/31/1985 17:00,277.6,0.0,377.4,226.5,2.5,40.0
California,1/31/1985 18:00,279.1,0.0,518.8,229.2,2.5,42.7
California,1/31/1985 19:00,280.2,0.0,637.7,232.2,2.5,44.7
California,1/31/1985 20:00,281.0,0.0,680.0,234.3,2.7,46.2
California,1/31/1985 21:00,281.5,0.0,659.4,236.7,2.8,47.1
California,1/31/1985 22:00,281.7,0.0,560.7,238.4,3.4,47.4
California,1/31/1985 23:00,281.5,0.0,440.3,239.4,4.1,47.1
California,2/2/1985 0:00,279.6,0.0,245.1,239.9,4.2,43.6
California,2/2/1985 1:00,277.9,0.0,48.9,243.6,3.6,40.5
California,2/2/1985 2:00,276.1,0.0,0.0,248.3,3.1,37.3
California,2/2/1985 3:00,275.8,0.0,0.0,253.7,2.8,36.8
California,2/2/1985 4:00,275.8,0.0,0.0,257.3,2.8,36.8
California,2/2/1985 5:00,275.7,0.0,0.0,258.6,3.1,36.6
California,2/2/1985 6:00,275.6,0.0,0.0,256.0,3.3,36.4
California,2/2/1985 7:00,275.4,0.0,0.0,254.0,3.6,36.1
California,2/2/1985 8:00,275.2,0.0,0.0,253.1,3.8,35.8
California,2/2/1985 9:00,275.0,0.0,0.0,255.4,3.7,35.3
California,2/2/1985 10:00,275.0,0.0,0.0,268.8,3.6,35.2
California,2/2/1985 11:00,274.8,0.0,0.0,272.6,3.5,35.0
California,2/2/1985 12:00,274.7,0.0,0.0,278.5,3.2,34.9
California,2/2/1985 13:00,274.6,0.0,0.0,282.0,3.0,34.7
California,2/2/1985 14:00,274.4,0.0,0.0,279.6,2.8,34.2
California,2/2/1985 15:00,274.3,0.0,3.3,282.1,2.6,34.1
California,2/2/1985 16:00,275.0,0.0,85.9,282.1,2.4,35.3
California,2/2/1985 17:00,276.3,0.0,216.6,274.5,2.4,37.7
California,2/2/1985 18:00,277.8,0.0,383.1,269.1,2.5,40.4
California,2/2/1985 19:00,279.0,0.0,501.3,268.5,2.8,42.5
California,2/2/1985 20:00,279.7,0.0,544.7,268.3,3.3,43.9
